id	1CMET2-PWY: folate transformations III (E. coli)	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	ARO-PWY: chorismate biosynthesis I	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	CALVIN-PWY: Calvin-Benson-Bassham cycle	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	GLUTORN-PWY: L-ornithine biosynthesis I	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	HISTSYN-PWY: L-histidine biosynthesis	HSERMETANA-PWY: L-methionine biosynthesis III	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	NONMEVIPP-PWY: methylerythritol phosphate pathway I	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	PANTO-PWY: phosphopantothenate biosynthesis I	PENTOSE-P-PWY: pentose phosphate pathway	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PWY-1042: glycolysis IV	PWY-2942: L-lysine biosynthesis III	PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-3841: folate transformations II (plants)	PWY-4041: &gamma;-glutamyl cycle	PWY-5097: L-lysine biosynthesis VI	PWY-5100: pyruvate fermentation to acetate and lactate II	PWY-5103: L-isoleucine biosynthesis III	PWY-5384: sucrose degradation IV (sucrose phosphorylase)	PWY-5667: CDP-diacylglycerol biosynthesis I	PWY-5686: UMP biosynthesis I	PWY-5695: inosine 5'-phosphate degradation	PWY-5941: glycogen degradation II	PWY-5973: cis-vaccenate biosynthesis	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	PWY-6123: inosine-5'-phosphate biosynthesis I	PWY-6124: inosine-5'-phosphate biosynthesis II	PWY-6151: S-adenosyl-L-methionine salvage I	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	PWY-6317: D-galactose degradation I (Leloir pathway)	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	PWY-6608: guanosine nucleotides degradation III	PWY-6609: adenine and adenosine salvage III	PWY-6700: queuosine biosynthesis I (de novo)	PWY-6703: preQ0 biosynthesis	PWY-6936: seleno-amino acid biosynthesis (plants)	PWY-7111: pyruvate fermentation to isobutanol (engineered)	PWY-7199: pyrimidine deoxyribonucleosides salvage	PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7237: myo-, chiro- and scyllo-inositol degradation	PWY-7238: sucrose biosynthesis II	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	PWY-7663: gondoate biosynthesis (anaerobic)	PWY-7790: UMP biosynthesis II	PWY-7791: UMP biosynthesis III	PWY-7851: coenzyme A biosynthesis II (eukaryotic)	PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	PWY-7977: L-methionine biosynthesis IV	PWY-8178: pentose phosphate pathway (non-oxidative branch) II	PWY0-1296: purine ribonucleosides degradation	PWY0-1319: CDP-diacylglycerol biosynthesis II	PWY0-1477: ethanolamine utilization	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	PWY66-429: fatty acid biosynthesis initiation (mitochondria)	PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	THRESYN-PWY: superpathway of L-threonine biosynthesis	TRNA-CHARGING-PWY: tRNA charging	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	VALSYN-PWY: L-valine biosynthesis
magic.1768	0.0	2.009e-07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99999429	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0013492006	1.0	0.669677739	0.0	1.0	1.0	6.7e-08	0.9999992674	1.0	1.0	1.0	0.999999372	0.669677739	1.0	1.0	1.0	0.9990174	0.7894904727	1.0	0.7886107595	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.8247620936	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.9999995604	0.9999999999	0.0	0.0	1.0	0.9999928063	0.0	1.0	0.0	1.0	0.9999999987	1.0	0.0018528436	0.0	1.0	1.0	0.0	1.0	1.0
magic.1769	0.0	0.0	0.7471056063	0.0	1e-10	0.0	1.0	1.254e-07	0.0	0.0	0.0	0.0	1.0	1.0	0.3498488702	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.3905554639	0.0	0.0	0.8912763528	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1e-10	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
magic.1771	0.9999862538	0.9999698311	0.2868974064	0.1681525007	1.0	0.0038835997	0.0	0.8595692224	1.0	1.0	0.9999999925	1.0	0.0	0.0841405822	1.0	1.0	0.0	0.0	1.0	0.6562650455	0.0	1.0	0.7685243904	1.0	1.0	1.0	0.0	1.0	0.3360475608	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9999999712	0.0	0.0	1.0	1.0	0.0	1.0	0.9999986901	1.0	1.0	1.0	1.0	1.0	1.0	0.7183411363	0.0	1.0	0.0	1.0	1.0	0.9999831715	1.0	1.0	1.0	0.0	1.0
magic.1772	0.0	0.0009650571	0.0046349435	2.2556e-06	6.5e-08	1.0	1.0	1.0	0.0	0.0	0.0	0.3405704513	0.5061795749	0.0009691694	0.6721370844	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0544130507	0.0	0.9999999918	0.1064149673	0.3660987961	0.9891137183	0.1103092066	0.0	0.0	1.0	0.0	1.0	1.18e-08	1.0	0.0438344889	0.0181934921	1.0	1.0	0.0	0.0	0.9999999359	0.0018011409	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.7988388019	1.0	0.0	0.0	1.68042e-05	0.0298723843	0.0	1.0	1.18e-08	1.18e-08	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.997676475	0.0	1.0	1.0	0.0310452298	4.972e-06	1.0
magic.1774	0.0	0.064279505	0.0	0.0	0.7352344321	0.8408719906	0.9952833497	0.9640760752	0.7155571054	0.9999706432	0.7329161756	0.0	0.0	0.0	0.9984010492	0.9988224362	4.882e-07	0.9960675916	0.0700563305	0.999999998	0.0	0.0	0.992859118	0.0030862827	0.9999999999	0.0697778137	0.9953046617	0.0015249213	0.9984915328	0.0039399569	0.0	0.9937229568	0.0	0.9897623822	0.0	0.9999999429	0.0	0.0	0.9999999696	0.9999999997	0.0096635676	0.0111976616	0.9981278799	0.9636016898	0.9999999997	0.9970431199	0.0030867843	0.0	0.0024709534	0.0	0.9999999523	0.9988763947	0.0	1.0	1.0	0.9296762463	0.9999999429	0.0	1.008e-07	0.0056189228	0.9533064701	0.0	0.0	0.6680546305	0.0021627522	0.9999999942	0.9999999975	0.0	0.9897623822	0.0	1.0	0.5035505231	0.0	0.9999960446	0.9999999674	0.490848648	0.0367612077	1.0
magic.1776	0.811629194	1.0	0.9999851291	0.9999598496	1.0	0.9931791483	1.0	0.9999991392	1.0	1.0	1.0	1.0	0.0	0.9999286237	0.979849992	0.867329136	0.763677668	1.0	1.0	1.0	0.0043117347	9.25549e-05	0.9999962428	1.0	1.0	1.0	0.0019176831	1.0	0.0153484458	1.0	0.0043117347	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.9999999947	1.0	0.0290747786	0.0001898165	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	8.2778e-06	1.0	4.79046e-05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6829763823	1.0	6.4749e-06	1.0	0.0043117347	1.0	1.0	0.2302111058	0.487724439	0.9958448744	1.0	0.0	1.0
magic.1777	0.9977460374	1.0	0.9999999357	0.9999998263	1.0	1.0	0.9999996453	1.0	1.0	1.0	0.8275482255	1.0	0.9999997753	0.9999996913	1.0	3.19e-07	1.0	0.9999997044	0.920998836	1.0	0.0	0.9999999991	0.9555526381	0.9999999002	1.0	1.0	0.0	0.9977460455	0.9985540262	1.0	0.0	0.999999527	0.0	1.0	1.0	1.0	0.9999999612	0.9949278766	0.8593403449	1.0	0.9999999858	0.999999983	0.9999999992	1.0	1.0	0.0	0.9999999014	1.0	1.0	0.7789808445	1.0	1.0	1e-10	1.0	1.0	0.0	0.9999961794	1.0	0.999999998	1e-10	0.9936678751	1.0	1.0	1.0	0.9987071572	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.9955022287	0.0	1.0	0.0	1.0
magic.1780	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.9999655576	1.0	0.0	0.0	0.3500132162	0.0	0.0	0.9986250977	0.0	1.0	0.0	0.9609937994	0.0	0.0	0.0	1.0	0.0	1.38273e-05	0.9999999863	1.0	0.0	0.0	0.9994618628	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.999999999	0.5875609601	1.0	1.0	0.0	1.0	1.0	1.0	0.0012286148	1.0	0.9999999988	0.9996050468	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.9999569473	1.0	0.0	0.9685496881	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
magic.1781	8.1e-09	0.0	5.04762e-05	1.99414e-05	1.0	0.0	1.0	0.0	1.0	1.0	0.9999999877	1.0	0.0	1.05163e-05	1.0	0.9999997948	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.2184305584	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.9999884136	0.9999999999	0.0	0.0	1.0	1.0	0.0	1.0	0.0005137889	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.9999999998	0.0003083367	1.0	0.0	1.0
magic.1782	0.9995144362	0.0	0.0	0.0	0.9968486283	1.0	0.0	0.0	0.9999895467	0.9999997274	0.0	0.9999999999	0.0	0.0	0.0	0.9634183584	0.0	0.0	0.9617358786	0.0	0.0	0.9999902747	0.0	1.0	0.999999857	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0153909221	0.9517452321	1.0	0.0	1.396e-07	0.5425573819	0.9999799011	0.676600941	0.9172637442	0.0	0.9999423004	0.9999799011	0.0	1.0	1.0	1.0	0.0	1.0	0.8518109757	0.9999999998	0.0	0.0	0.0102991259	0.9999999912	0.0	0.0	0.0	1.0	0.9517452321	0.9989480459	0.9999933173	1.0	1.0	0.0	0.0	0.0153909221	0.0	1.0	1.0	1.0	0.9999988701	1.0	0.9999974365	0.0	1.0
